X;Force
 M;Newtons
5,8824;10,745
5,8923;11,133
5,9023;12,825
5,9123;13,582
5,9222;12,348
5,9322;11,884
5,9422;12,805
5,9522;14,543
5,9621;14,687
5,9721;15,062
5,9821;18,07
5,992;19,72
6,002;18,315
6,012;16,644
6,0219;17,544
6,0319;17,872
6,0419;16,147
6,0519;14,619
6,0618;14,134
6,0718;12,805
6,0818;11,223
6,0917;12,068
6,1017;16,262
6,1117;19,358
6,1216;16,801
6,1316;13,732
6,1416;12,157
6,1516;12,894
6,1615;15,048
6,1715;16,992
6,1815;18,158
6,1914;20,238
6,2014;20,06
6,2114;18,001
6,2213;16,617
6,2313;15,642
6,2413;13,977
6,2513;12,041
6,2612;10,124
6,2712;8,767
6,2812;9,62
6,2911;11,297
6,3011;12,744
6,3111;14,162
6,321;15,724
6,331;14,734
6,341;13,323
6,351;13,61
6,3609;13,384
6,3709;11,897
6,3809;10,923
6,3908;9,729
6,4008;10,636
6,4108;13,637
6,4208;16,037
6,4307;15,048
6,4407;13,22
6,4507;12,396
6,4606;11,747
6,4706;11,14
6,4806;10,773
6,4905;10,657
6,5005;10,623
6,5105;11,864
6,5205;14,674
6,5304;17,176
6,5404;19,093
6,5504;19,42
6,5603;19,884
6,5703;20,402
6,5803;18,915
6,5902;15,764
6,6002;14,284
6,6102;14,741
6,6202;15,035
6,6301;15,164
6,6401;14,755
6,6501;13,344
6,66;12,941
6,67;12,627
6,68;12,116
6,6899;10,54
6,6999;10,043
6,7099;11,877
6,7199;15,949
6,7298;19,788
6,7398;19,324
6,7498;17,98
6,7597;17,197
6,7697;16,501
6,7797;17,073
6,7896;16,897
6,7996;15,117
6,8096;13,794
6,8196;14,51
6,8295;15,457
6,8395;15,976
6,8495;17,258
6,8594;18,049
6,8694;15,185
6,8794;12,368
6,8893;10,514
6,8993;9,879
6,9093;10,438
6,9193;12,13
6,9292;14,598
6,9392;16,597
6,9492;17,258
6,9591;17,504
6,9691;16,842
6,9791;15,41
6,989;15,287
6,999;13,439
7,009;11,939
7,019;10,595
7,0289;10,779
7,0389;14,326
7,0489;16,904
7,0588;17,715
7,0688;18,363
7,0788;16,856
7,0887;13,098
7,0987;12,061
7,1087;12,232
7,1187;12,375
7,1286;14,81
7,1386;19,781
7,1486;24,2
7,1585;26,567
7,1685;23,941
7,1785;20,627
7,1884;19,603
7,1984;17,347
7,2084;14,434
7,2184;13,684
7,2283;17,783
7,2383;22,202
7,2483;20,034
7,2582;15,997
7,2682;13,446
7,2782;13,063
7,2882;13,971
7,2981;15,314
7,3081;16,154
7,3181;16,447
7,328;17,565
7,338;18,751
7,348;19,754
7,3579;20,177
7,3679;18,574
7,3779;17,292
7,3879;14,257
7,3978;14,36
7,4078;16,617
7,4178;15,54
7,4277;13,384
7,4377;13,105
7,4477;13,282
7,4576;12,43
7,4676;11,168
7,4776;12,211
7,4876;13,125
7,4975;12,375
7,5075;13,023
7,5175;10,964
7,5274;11,25
7,5374;12,546
7,5474;12,92
7,5573;13,344
7,5673;12,477
7,5773;12,225
7,5873;13,548
7,5972;16,119
7,6072;16,944
7,6172;14,981
7,6271;13,644
7,6371;14,646
7,6471;16,999
7,657;17,899
7,667;17,456
7,677;16,849
7,687;16,304
7,6969;17,68
7,7069;17,142
7,7169;14,517
7,7268;12,873
7,7368;11,488
7,7468;9,764
7,7567;8,672
7,7667;10,145
7,7767;12,525
7,7867;13,01
7,7966;12,989
7,8066;14,967
7,8166;15,41
7,8265;14,687
7,8365;14,748
7,8465;16,037
7,8564;15,369
7,8664;12,675
7,8764;11,133
7,8864;9,667
7,8963;12,491
7,9063;15,505
7,9163;16,59
7,9262;15,901
7,9362;15,805
7,9462;15,662
7,9561;15,11
7,9661;15,39
7,9761;15,56
7,9861;13,753
7,996;11,066
8,006;11,052
8,016;13,534
8,0259;15,492
8,0359;14,946
8,0459;14,728
8,0558;12,961
8,0658;10,84
8,0758;10,814
8,0858;12,075
8,0957;13,051
8,1057;13,296
8,1157;14,891
8,1256;19,284
8,1356;20,552
8,1456;19,208
8,1556;17,128
8,1655;15,212
8,1755;13,077
8,1855;12,532
8,1954;14,148
8,2054;15,928
8,2154;17,811
8,2253;16,16
8,2353;12,846
8,2453;10,568
8,2553;10,445
8,2652;11,08
8,2752;12,77
8,2852;15,826
8,2951;17,94
8,3051;20,34
8,3151;20,886
8,325;19,413
8,335;18,649
8,345;18,69
8,355;19,153
8,3649;18,137
8,3749;17,361
8,3849;16,16
8,3948;14,326
8,4048;12,416
8,4148;11,611
8,4247;11,53
8,4347;11,059
8,4447;11,018
8,4547;11,373
8,4646;10,752
8,4746;10,227
8,4846;11,182
8,4945;12,587
8,5045;12,901
8,5145;13,18
8,5244;15,219
8,5344;16,167
8,5444;16,18
8,5544;17,006
8,5643;19,788
8,5743;20,307
8,5843;16,454
8,5942;11,38
8,6042;11,345
8,6142;15,103
8,6241;18,894
8,6341;20,32
8,6441;18,71
8,6541;17,592
8,664;17,906
8,674;18,437
8,684;18,444
8,6939;15,819
8,7039;12,941
8,7139;11,747
8,7238;12,784
8,7338;14,503
8,7438;16,01
8,7538;17,347
8,7637;18,69
8,7737;17,408
8,7837;14,393
8,7936;13,241
8,8036;13,377
8,8136;13,344
8,8235;13,384
8,8335;13,398
8,8435;13,807
8,8535;14,919
8,8634;15,914
8,8734;15,519
8,8834;13,213
8,8933;12,825
8,9033;14,114
8,9133;15,041
8,9232;15,724
8,9332;16,276
8,9432;15,737
8,9532;15,281
8,9631;14,434
8,9731;13,937
8,9831;14,734
8,993;16,228
9,003;17,047
9,013;15,567
9,0229;13,896
9,0329;13,8
9,0429;13,37
9,0529;11,57
9,0628;10,773
9,0728;11,911
9,0828;12,341
9,0927;13,923
9,1027;15,464
9,1127;14,714
9,1227;13,882
9,1326;14,121
9,1426;14,981
9,1526;15,089
9,1625;15,478
9,1725;14,51
9,1825;13,125
9,1924;13,18
9,2024;12,777
9,2124;12,634
9,2224;12,901
9,2323;13,487
9,2423;13,377
9,2523;13,76
9,2622;14,891
9,2722;16,801
9,2822;16,863
9,2921;16,099
9,3021;16,119
9,3121;17,197
9,3221;18,063
9,332;17,927
9,342;17,361
9,352;17,128
9,3619;17,728
9,3719;18,274
9,3819;15,676
9,3918;13,698
9,4018;12,723
9,4118;13,33
9,4218;17,585
9,4317;18,042
9,4417;16,473
9,4517;16,017
9,4616;17,285
9,4716;17,626
9,4816;15,69
9,4915;15,267
9,5015;16,276
9,5115;15,355
9,5215;12,92
9,5314;10,671
9,5414;9,709
9,5514;11,025
9,5613;13,93
9,5713;14,046
9,5813;13,937
9,5912;14,674
9,6012;14,339
9,6112;13,323
9,6212;13,78
9,6311;14,407
9,6411;12,539
9,6511;9,51
9,661;10,602
9,671;13,282
9,681;15,6
9,6909;18,247
9,7009;17,033
9,7109;14,326
9,7209;13,016
9,7308;13,814
9,7408;15,717
9,7508;15,86
9,7607;14,482
9,7707;11,243
9,7807;10,54
9,7906;12,157
9,8006;15,819
9,8106;17,483
9,8206;17,558
9,8305;18,185
9,8405;18,41
9,8505;18,213
9,8604;20,157
9,8704;18,697
9,8804;16,037
9,8903;15,15
9,9003;15,444
9,9103;16,31
9,9203;16,958
9,9302;17,654
9,9402;17,271
9,9502;15,771
9,9601;15,293
9,9701;15,048
9,9801;12,532
9,9901;11,297
10;11,025
10,01;10,166
10,02;11,045
10,0299;11,59
10,0399;12,02
10,0499;13,596
10,0598;13,746
10,0698;12,566
10,0798;12,634
10,0898;13,664
10,0997;13,282
10,1097;12,709
10,1197;13,582
10,1296;16,508
10,1396;21,766
10,1496;23,327
10,1595;19,931
10,1695;16,473
10,1795;15,553
10,1895;16,256
10,1994;16,726
10,2094;14,96
10,2194;12,913
10,2293;12,327
10,2393;12,02
10,2493;11,816
10,2592;11,747
10,2692;13,617
10,2792;19,167
10,2892;22,911
10,2991;20,593
10,3091;18,594
10,3191;18,39
10,329;18,008
10,339;17,306
10,349;16,426
10,3589;16,242
10,3689;14,85
10,3789;13,617
10,3889;13,964
10,3988;14,571
10,4088;16,364
10,4188;18,479
10,4287;19,42
10,4387;18,07
10,4487;15,041
10,4586;14,087
10,4686;15,778
10,4786;16,856
10,4886;16,814
10,4985;16,999
10,5085;17,367
10,5185;17,879
10,5284;18,315
10,5384;20,961
10,5484;23,375
10,5583;19,734
10,5683;14,721
10,5783;14,264
10,5883;16,904
10,5982;17,626
10,6082;16,761
10,6182;15,744
10,6281;14,769
10,6381;14,824
10,6481;15,478
10,658;14,428
10,668;13,644
10,678;11,1
10,688;10,521
10,6979;12,634
10,7079;15,293
10,7179;15,512
10,7278;15,069
10,7378;14,441
10,7478;13,296
10,7577;13,787
10,7677;14,339
10,7777;13,166
10,7877;11,018
10,7976;9,552
10,8076;10,445
10,8176;13,01
10,8275;14,543
10,8375;15,219
10,8475;15,117
10,8574;15,86
10,8674;18,56
10,8774;21,111
10,8874;22,509
10,8973;20,334
10,9073;17,96
10,9173;17,428
10,9272;16,814
10,9372;15,785
10,9472;15,642
10,9572;15,369
10,9671;15,6
